Thực tế,Dự đoán
-11.0,-11.587992
248.0,222.34526
-7.0,-10.8765
-25.0,-3.7704442
-6.0,0.22007625
-18.0,-17.737133
18.0,19.174976
6.0,-4.800432
-14.0,-7.6091485
-3.0,-14.472332
195.0,187.96008
-6.0,-10.530456
-9.0,2.3764708
-7.0,-5.8787255
-10.0,-8.275143
-25.0,-21.426159
10.0,11.78954
-17.0,-21.632328
-10.0,-2.8225956
-14.0,-10.822911
-18.0,-12.899351
37.0,0.047188852
4.0,1.6982218
-16.0,-10.629981
-3.0,-8.098829
-4.0,3.2881942
-1.0,0.37912056
-8.0,-15.857096
-16.0,0.7350821
18.0,19.301592
207.0,222.82045
51.0,40.979103
201.0,202.23413
209.0,232.48265
-16.0,-16.78567
-27.0,-24.502844
-5.0,6.2586417
-37.0,-12.345509
11.0,12.923105
168.0,160.57529
-15.0,-10.75033
-6.0,-20.889763
-18.0,-13.092079
-24.0,-21.508621
-10.0,-14.0276575
-7.0,-13.382187
-22.0,-12.986003
17.0,20.996365
-11.0,-10.17875
-24.0,-16.21547
-27.0,-31.965343
-6.0,-17.169285
2.0,6.122628
-11.0,-14.396954
-8.0,-7.2616296
-12.0,-9.281436
-8.0,-2.5486674
-14.0,-16.640585
7.0,-10.782145
79.0,71.93302
-29.0,-6.90504
553.0,701.1397
0.0,11.343778
-18.0,-15.211584
124.0,103.12377
201.0,224.68808
-31.0,-19.973211
21.0,18.24626
12.0,-4.9111824
-21.0,-16.688534
-10.0,-7.202923
-18.0,-26.568935
-31.0,-7.426883
-9.0,-13.008506
6.0,-1.2061089
-11.0,-15.014568
-15.0,-11.293147
-11.0,-17.623411
-17.0,-10.766646
-3.0,0.21529469
-3.0,-17.240923
-1.0,-13.490421
-16.0,-11.426077
80.0,79.56668
-2.0,-4.829753
-15.0,-17.122263
18.0,7.808867
1.0,-8.934702
-5.0,-9.540169
5.0,7.2167954
-3.0,-6.3848033
19.0,18.295372
-8.0,-10.435556
-15.0,-6.8914766
4.0,1.2213103
-23.0,-21.782639
-2.0,-19.843653
30.0,23.247385
4.0,8.192838
6.0,2.9475493
0.0,-3.6811225
7.0,5.2995715
-9.0,-14.453977
39.0,41.315395
-21.0,-12.838945
-6.0,-1.4453589
-5.0,-15.782209
-11.0,-15.689628
-13.0,-15.521847
-5.0,-8.038382
3.0,4.7939878
31.0,35.546318
33.0,34.178253
-10.0,6.971018
-2.0,-11.625847
64.0,69.76211
84.0,80.554085
-7.0,-6.6370344
47.0,46.7621
-8.0,-26.207108
14.0,15.621235
203.0,227.69568
27.0,22.719852
11.0,12.055526
28.0,12.957024
10.0,6.231288
1.0,-3.006008
17.0,29.069386
-21.0,-19.301258
-2.0,-4.0122304
18.0,22.414434
-9.0,-15.414376
109.0,98.57894
-33.0,-14.523636
7.0,-3.4497755
-16.0,-22.104607
-21.0,-11.5318
-13.0,-17.927631
-22.0,-12.699028
2.0,1.9410503
-31.0,-15.092408
7.0,7.0133815
-20.0,-12.8338585
224.0,235.39845
-29.0,-17.155127
4.0,11.297469
0.0,-4.7273464
243.0,223.68343
-13.0,-15.845432
0.0,3.2205539
-18.0,-19.840693
-16.0,-11.268675
-1.0,-7.5099936
-13.0,-18.416039
-22.0,-15.847081
-9.0,-11.704352
-19.0,-11.565408
108.0,105.95269
-9.0,-4.2560062
21.0,4.6160307
79.0,77.74069
-16.0,-8.568457
-22.0,-26.7855
-2.0,8.475831
-6.0,-3.0548766
-10.0,-8.469597
-8.0,-12.963205
94.0,93.65298
2.0,-0.69795334
49.0,9.533983
-26.0,-15.170562
-37.0,-23.767366
-1.0,2.3359509
94.0,96.204445
-3.0,1.6042671
221.0,233.01788
-7.0,-8.146585
-6.0,-9.09955
-17.0,-19.02328
-16.0,-16.438902
9.0,10.675258
-14.0,-16.772038
12.0,11.313926
-11.0,-8.031349
-7.0,-8.204669
-32.0,-14.286173
-14.0,-8.298338
-9.0,-11.192798
-19.0,-10.080759
58.0,56.338005
-24.0,-16.976707
-15.0,-18.29025
29.0,40.216236
6.0,-7.728736
-19.0,-12.374473
127.0,131.29982
-20.0,-18.052004
-5.0,-9.38501
-23.0,-15.546327
-5.0,-10.462061
90.0,84.13926
148.0,170.57149
-21.0,-10.885983
52.0,61.01397
129.0,138.56981
6.0,5.5269966
-18.0,-13.989884
3.0,22.626204
-15.0,-14.262268
11.0,42.098225
-14.0,-6.002611
19.0,0.9052252
53.0,48.76856
3.0,-10.700433
-18.0,-19.563118
34.0,19.440424
-19.0,-26.500893
-9.0,-12.463944
16.0,-9.260069
-18.0,-19.441158
11.0,11.563518
-11.0,-11.296808
-22.0,-14.544405
1.0,-6.074087
-24.0,-13.494541
-1.0,-5.567085
-2.0,1.8097712
1.0,6.533195
-8.0,-10.219133
-11.0,-12.241192
-6.0,-9.737669
-10.0,-8.034104
11.0,-15.547383
-1.0,-9.923556
-17.0,-15.250922
-27.0,-22.954016
-13.0,-3.003828
137.0,165.25505
-2.0,7.360156
-3.0,-1.6034034
-25.0,-4.987892
-7.0,-4.104051
-27.0,-18.944391
135.0,123.3389
5.0,-4.912496
-41.0,-22.46352
-5.0,-1.0154794
1.0,9.169606
3.0,2.377968
-18.0,-11.0040455
3.0,0.76872665
-27.0,-17.54226
-24.0,-13.972257
-9.0,-2.7498586
-24.0,-27.511868
57.0,64.14946
-25.0,-12.553783
20.0,-4.5264993
-21.0,-11.981396
-37.0,-8.972817
-10.0,-10.351763
78.0,82.150154
-6.0,-10.570107
-20.0,-12.149376
109.0,105.222275
-4.0,2.3481858
-13.0,-11.333114
-3.0,2.4413323
65.0,67.13398
63.0,67.119865
-24.0,-19.65875
2.0,10.421705
-3.0,-5.395899
-16.0,-21.566433
7.0,9.339271
12.0,9.937013
10.0,13.252515
3.0,-6.826198
-3.0,-8.889066
-12.0,-16.874
5.0,0.701793
-8.0,-10.4007
-5.0,-13.254634
-16.0,-13.517769
39.0,48.189053
-22.0,-19.063826
5.0,5.0897565
-6.0,-13.526693
-24.0,-11.693495
110.0,145.09895
87.0,78.8667
-35.0,-26.536634
-7.0,-5.98319
12.0,12.49961
85.0,93.49452
-7.0,-11.430317
21.0,25.162296
-11.0,-7.9114957
-9.0,-10.627728
-16.0,-0.7707206
-1.0,-7.6177406
-11.0,-9.675211
-9.0,-8.334538
-14.0,-14.560635
-19.0,-16.035887
-2.0,8.221478
15.0,3.044249
-12.0,-14.58499
-10.0,-13.512301
34.0,13.217215
-9.0,-12.529995
46.0,31.647871
31.0,39.086155
-29.0,-20.170895
-10.0,-16.76267
10.0,-0.86507577
-13.0,-5.3476067
-7.0,-1.5730475
-18.0,-13.809513
-9.0,-10.036133
-10.0,-15.506363
39.0,11.939957
-17.0,-12.038968
244.0,224.9362
-15.0,-18.441284
-3.0,-4.5582137
-12.0,-18.184336
-19.0,-19.889185
-1.0,-4.26389
-5.0,-5.262823
4.0,9.696231
-16.0,-14.343055
-12.0,-3.8181682
-23.0,-13.2245655
6.0,-1.6567723
-21.0,-8.506168
0.0,4.969646
36.0,28.580399
-9.0,-17.55016
-3.0,-10.278556
-16.0,-19.06979
-32.0,-18.897158
2.0,2.790479
7.0,6.8917856
-16.0,-11.351862
-16.0,-26.142374
-22.0,-18.822845
-15.0,8.299243
-9.0,-9.726377
25.0,14.409802
-8.0,-16.039165
-21.0,-23.138748
27.0,34.514347
0.0,-8.480703
231.0,233.37326
-7.0,-14.42034
-20.0,-15.836117
-18.0,-16.009697
-13.0,-11.519627
-6.0,-8.5255165
-23.0,-7.0592155
-21.0,-11.730153
3.0,-2.7944474
-4.0,-12.84532
-22.0,-22.241562
-36.0,-20.510265
-19.0,-23.561422
16.0,7.8747797
-26.0,-23.69817
19.0,9.681528
-14.0,-2.99158
-10.0,-5.6110263
-12.0,-11.748138
-43.0,-17.506342
86.0,96.74588
-6.0,-9.620586
-7.0,-8.064421
-14.0,-13.079093
-18.0,-16.402603
-23.0,-20.766367
53.0,57.670002
19.0,8.846475
3.0,-4.0842433
-2.0,0.6685725
-5.0,-11.39906
-3.0,-6.3890886
-27.0,-13.745947
-13.0,-16.75039
-20.0,-20.467815
14.0,11.17516
-25.0,-27.747766
8.0,0.20406865
-1.0,-7.610317
-23.0,-20.425806
-13.0,-10.525137
-18.0,-12.748653
-17.0,-15.804667
2.0,-1.5302154
-5.0,-13.20889
-9.0,-9.309059
-8.0,-2.7063167
-11.0,-16.419283
21.0,17.235044
-4.0,-8.758953
-12.0,-6.141807
59.0,60.211926
-31.0,-5.5073566
-8.0,-8.463397
-9.0,-10.988815
-25.0,-13.428043
5.0,-1.0982684
-18.0,-14.226847
-32.0,-12.211865
-15.0,-16.66702
-17.0,-12.598191
-17.0,-19.457315
-24.0,-20.224447
-12.0,-10.784647
-10.0,-13.259906
-4.0,7.9490924
-14.0,-7.9765134
-16.0,-19.984758
-11.0,-14.411688
6.0,-3.537368
-26.0,-19.096561
-10.0,-16.494932
-14.0,-8.892977
-2.0,-8.0574465
41.0,33.948666
-6.0,-20.261105
-31.0,-9.250573
-14.0,-10.932461
-24.0,-16.637226
53.0,31.943184
70.0,46.477554
-7.0,-0.9113442
46.0,44.962727
-14.0,-14.180469
1.0,4.3469176
-12.0,-14.553897
-3.0,-11.495584
-12.0,-22.087292
-1.0,-0.7739182
40.0,36.694298
111.0,111.24217
0.0,-12.551317
-20.0,-16.569216
-28.0,-21.210272
-25.0,-2.1504576
-7.0,-16.254503
33.0,23.650454
6.0,9.124336
7.0,20.932665
38.0,38.536762
-10.0,-13.030629
-21.0,-14.000281
-1.0,-8.575501
-6.0,-14.84434
9.0,7.860109
60.0,44.202023
-5.0,-8.229712
-14.0,-13.092052
-13.0,2.1935058
-22.0,-16.493727
-17.0,-4.546593
-10.0,-9.854595
-12.0,-1.2324212
-10.0,-9.650886
-9.0,-6.1111617
-1.0,-0.40600243
-11.0,-15.508714
-1.0,-5.3844166
-10.0,-12.885359
7.0,0.6840696
-15.0,-3.5462832
72.0,44.566998
-10.0,-10.7506
-3.0,-14.753079
13.0,6.6588616
-5.0,2.7687411
-10.0,-16.408577
-35.0,-17.015158
-4.0,2.5962136
-15.0,-11.570355
22.0,12.01777
-16.0,-17.68781
-16.0,-7.3582125
-10.0,-5.63309
9.0,-3.921593
-8.0,3.460148
14.0,-5.646204
-17.0,-16.611933
-9.0,-9.496341
-22.0,-20.3278
80.0,78.98425
18.0,21.817402
21.0,2.204825
5.0,-9.975337
30.0,14.481392
-5.0,-10.292337
2.0,-2.4992933
-19.0,-4.501058
24.0,32.82388
52.0,49.1375
9.0,-2.3498974
-7.0,-12.274449
176.0,181.33244
11.0,4.0943604
-7.0,-1.0318823
-1.0,7.712176
-10.0,-7.6322217
5.0,7.4180813
-22.0,-15.088976
-26.0,-25.749905
-17.0,-13.671324
9.0,-6.334299
-4.0,-10.959996
14.0,-2.4852428
-42.0,-13.016358
-15.0,-10.127272
-10.0,-31.23891
78.0,50.815628
61.0,17.690598
-9.0,-9.154689
44.0,43.84058
-20.0,1.7749022
-1.0,-5.3721066
-10.0,-17.007719
-17.0,-8.632825
18.0,13.464706
-12.0,-7.1029234
13.0,9.205939
-18.0,-19.447384
-13.0,-9.775138
-16.0,-12.879276
-12.0,-14.744891
-8.0,-2.3905432
7.0,2.8348122
14.0,25.256662
-10.0,-13.203145
13.0,1.3306665
6.0,-4.297757
21.0,18.434292
-23.0,-7.722986
-20.0,-18.215872
-15.0,-16.832806
-18.0,-14.051816
4.0,2.4744215
-4.0,-0.49584928
-41.0,-26.718174
-14.0,-3.3020527
7.0,-15.733074
-42.0,-22.288593
-4.0,-10.207285
-4.0,4.139457
-11.0,-15.8913
4.0,4.836204
-8.0,-6.458693
14.0,8.521843
-11.0,-11.862565
1.0,-1.4077514
8.0,-9.0593815
0.0,-10.268645
-3.0,-6.5637712
-23.0,-13.213038
5.0,12.856867
-6.0,-11.260753
23.0,20.819792
-2.0,-4.2211046
-14.0,-5.382755
15.0,15.788457
10.0,12.258281
-5.0,-11.256994
-10.0,-1.656811
-23.0,-32.66895
-22.0,-9.935623
-16.0,-16.328
-12.0,-21.630955
22.0,5.6187835
13.0,33.27821
-7.0,-11.5261755
-7.0,-5.2445755
-22.0,-16.002636
9.0,11.417183
-8.0,-12.690555
-23.0,-19.413662
6.0,6.7945037
-10.0,-8.021893
-21.0,-15.059314
-23.0,-17.00905
-16.0,-3.7164025
-24.0,-18.459354
-5.0,-0.83561784
-3.0,-8.702851
10.0,1.9543834
-15.0,-4.412041
-13.0,-12.758916
15.0,5.8066926
-15.0,-10.98248
-19.0,-12.182144
18.0,24.16822
-8.0,-22.85254
16.0,12.894399
106.0,116.56618
-24.0,-21.222525
-20.0,-10.273361
-5.0,-14.640081
-29.0,-10.456008
-1.0,-3.8692162
10.0,22.416563
-25.0,-16.403128
-12.0,-11.802311
12.0,9.036776
-6.0,-12.588217
-27.0,-21.597092
-15.0,-3.8258238
-29.0,-24.481007
-10.0,-8.194518
10.0,7.0587683
-22.0,-16.173122
120.0,116.41779
59.0,55.82508
51.0,48.014626
-22.0,-16.63365
-33.0,-25.638449
0.0,1.9355779
-2.0,-10.827632
-1.0,-6.060702
-6.0,-10.517156
-11.0,-11.785073
-3.0,-9.7283325
7.0,3.4957144
-18.0,-20.696226
0.0,-5.0273023
-18.0,-13.670948
-12.0,-14.184276
6.0,3.5405838
-19.0,-15.53785
124.0,109.64705
-3.0,-0.4819894
25.0,28.765116
-21.0,-16.192537
11.0,20.526155
-36.0,-16.328718
21.0,5.1315274
-2.0,-0.6048715
0.0,-9.913431
-38.0,-20.360762
-4.0,-9.410241
17.0,13.365695
-6.0,-15.85933
95.0,101.81917
-4.0,-1.9289011
-15.0,-17.37912
26.0,14.961928
-17.0,-15.611692
-5.0,-21.298832
51.0,62.256413
-15.0,-18.033438
-14.0,-9.7021055
38.0,41.664356
-7.0,-12.153922
-22.0,-18.175653
-15.0,-9.856713
-9.0,-11.513076
-10.0,-12.59612
17.0,-5.618932
35.0,18.22158
-15.0,-23.241936
37.0,39.068962
5.0,-1.3423979
10.0,15.813932
-18.0,-17.737497
35.0,47.519505
42.0,40.180244
-7.0,-14.219919
-13.0,-18.870052
-20.0,-18.225788
-5.0,-18.217167
-22.0,-16.864447
-18.0,-16.35656
-9.0,-4.5207286
-25.0,-13.517375
-17.0,-12.086175
-2.0,-1.5277232
-16.0,-8.17497
-24.0,-14.738009
-32.0,-24.49975
10.0,1.1361856
22.0,23.3433
0.0,7.968849
42.0,41.924088
-21.0,-22.334078
-22.0,-20.68265
-23.0,-22.69659
-14.0,-13.661774
10.0,19.043118
-29.0,-13.567533
-14.0,-16.400599
-20.0,-12.221822
-11.0,-12.491359
-4.0,-6.097805
5.0,-6.9722834
-3.0,-17.348385
-7.0,-7.796967
-12.0,-13.055431
0.0,-14.644772
-19.0,-4.4393234
-21.0,-12.356552
-10.0,-10.621858
-33.0,-22.091702
7.0,-6.790657
-9.0,-8.266039
-2.0,-5.9763994
-15.0,-10.900972
-30.0,-15.615632
-23.0,-18.197311
4.0,9.898591
-10.0,-17.53648
-12.0,-7.95128
-8.0,-11.932708
58.0,34.441814
15.0,12.13399
9.0,5.1648526
-32.0,-18.118784
-11.0,-9.859249
-6.0,16.34001
5.0,-4.4111056
-21.0,-14.706569
-6.0,-14.821414
-1.0,1.7108554
-8.0,-1.0812016
-28.0,-10.795681
51.0,59.59721
-14.0,-4.9314923
-16.0,-12.210261
-5.0,-18.072966
-17.0,-15.698748
-26.0,-16.532928
-23.0,-22.73148
-12.0,-12.823697
-13.0,-4.615634
-1.0,-9.546959
-11.0,-8.429321
-9.0,-9.127273
-32.0,-23.2681
-33.0,-41.55698
3.0,-10.960904
17.0,9.347283
-9.0,-12.96204
27.0,27.219944
-9.0,-7.298142
-23.0,-18.97627
-12.0,-13.214715
-27.0,-21.858065
-2.0,6.0586486
2.0,-0.9120597
-5.0,-10.621359
-11.0,-13.987459
196.0,186.16348
-16.0,-13.508905
-7.0,-8.315338
-1.0,-4.013798
4.0,-6.842194
-14.0,-16.48977
103.0,112.53708
56.0,51.08425
-7.0,-6.5028744
-8.0,-11.572089
-15.0,-7.745745
54.0,50.65047
-19.0,-19.5543
-14.0,3.1661873
-22.0,-14.435255
8.0,-3.0621634
-14.0,-14.458628
2.0,-13.487362
-19.0,-19.591228
41.0,29.46792
15.0,9.514843
-15.0,-1.340053
0.0,5.9395947
-24.0,-15.865607
-11.0,0.3599349
-16.0,-11.552112
83.0,85.72387
-5.0,-12.962307
